Date,Humidity_avg,Temp_avg,Temp_max,Temp_min
1/1/22,98.8,52.5,56,49
1/2/22,85.9,51.1,61,35
1/3/22,52.6,30.3,36,23
1/4/22,54,26,36,18
1/5/22,89.1,34.8,46,21
1/6/22,60.8,34.5,39,29
1/7/22,74.5,28.3,33,22
1/8/22,54,22.7,31,16
1/9/22,80.9,32.7,39,18
1/10/22,51.1,29.8,38,23
1/11/22,43.4,18,24,12
1/12/22,60.4,27.2,42,12
1/13/22,72,34.7,50,23
1/14/22,62,36.4,46,22
1/15/22,38.3,16.4,22,11
1/16/22,68,20,41,6
1/17/22,79.7,37.9,44,34
1/18/22,55.7,31.6,40,22
1/19/22,62.3,36.8,50,21
1/20/22,70.4,32.9,43,20
1/21/22,43.8,18.6,25,14
1/22/22,47.7,20.7,32,11
1/23/22,62.3,27.4,39,15
1/24/22,68.9,29.9,35,24
1/25/22,65.2,33.8,42,27
1/26/22,43.9,23.6,31,14
1/27/22,55.3,22.1,34,9
1/28/22,76.7,29.8,34,27
1/29/22,81.7,19.3,29,11
1/30/22,53.6,16.7,25,9
1/31/22,64.9,20,33,7
2/1/22,74,24.2,39,10
2/2/22,87.3,34,49,19
2/3/22,99.3,41.1,51,36
2/4/22,93.4,42.3,58,28
2/5/22,52.8,24.9,31,18
2/6/22,65.2,22.9,32,13
2/7/22,93.8,33.1,37,28
2/8/22,71.3,36.3,46,29
2/9/22,62,35.2,51,23
2/10/22,63.1,40.7,56,28
2/11/22,50.2,45.3,61,26
2/12/22,41.7,51.3,59,42
2/13/22,83.8,31.9,42,24
2/14/22,45.2,20.4,27,14
2/15/22,49.4,20.8,31,10
2/16/22,65.1,34,48,16
2/17/22,67.2,57.8,69,44
2/18/22,56,45.3,64,25
2/19/22,53.9,28.8,44,20
2/20/22,41.6,28.2,38,19
2/21/22,66.5,37.7,59,23
2/22/22,88.3,48.1,62,30
2/23/22,63,58.4,69,36
2/24/22,47.2,32.4,36,29
2/25/22,79.8,34.4,45,28
2/26/22,51.2,30.2,39,25
2/27/22,44.8,37.6,50,26
2/28/22,37.4,31.5,39,25
3/1/22,57.3,38.8,51,24
3/2/22,54.8,44.8,55,33
3/3/22,47.5,38.8,46,25
3/4/22,40.9,28.4,39,19
3/5/22,56.1,37,50,23
3/6/22,77,56.1,69,41
3/7/22,63.6,66.3,75,50
