Date,Vehicle,Block,BlockNo,ScheduledStartTime,Time,ID2,WorkID1,WorkID2
1/1/23,22901,452NT005,149991901,1/1/23 15:06,3:06:00 PM,449272290144927.6291666667,205,452
1/2/23,22901,452NT005,149984707,1/2/23 15:06,3:06:00 PM,,9,452
1/3/23,22901,452NT002,149970802,1/3/23 6:01,6:01:00 AM,,2,452
1/3/23,22901,452NT006,149971202,1/3/23 14:31,2:31:00 PM,,10,452
1/5/23,22901,452NT008,149971402,1/5/23 15:01,3:01:00 PM,,7,452
1/6/23,22901,452NT007,149971302,1/6/23 14:50,2:50:00 PM,,6,452
1/7/23,22901,452NT006,149984807,1/7/23 15:35,3:35:00 PM,,10,452
1/8/23,22901,452NT006,149992001,1/8/23 15:35,3:35:00 PM,,10,452
1/9/23,22901,452NT006,149971202,1/9/23 14:31,2:31:00 PM,,10,452
1/10/23,22901,452NT002,149970802,1/10/23 6:01,6:01:00 AM,,2,452
1/11/23,22901,452NT002,149970802,1/11/23 6:01,6:01:00 AM,,2,452
1/12/23,22901,452NT002,149970802,1/12/23 6:01,6:01:00 AM,,2,452
1/13/23,22901,452NT002,149970802,1/13/23 6:01,6:01:00 AM,,2,452
2/2/23,22901,457NT003,156824302,2/2/23 5:44,5:44:00 AM,,1,457
2/2/23,22901,452NT010,156819402,2/2/23 15:31,3:31:00 PM,,9,452
2/3/23,22901,457NT003,156824302,2/3/23 5:44,5:44:00 AM,,1,457
2/4/23,22901,457NT003,156832007,2/4/23 7:15,7:15:00 AM,,4,457
2/6/23,22901,452NT006,156819002,2/6/23 14:31,2:31:00 PM,,10,452
2/7/23,22901,457NT003,156824302,2/7/23 5:44,5:44:00 AM,,1,457
2/7/23,22901,452NT010,156819402,2/7/23 15:31,3:31:00 PM,,9,452
2/8/23,22901,457NT003,156824302,2/8/23 5:44,5:44:00 AM,,1,457
2/10/23,22901,457NT007,156824702,2/10/23 13:50,1:50:00 PM,,802,457
2/11/23,22901,452NT005,156831407,2/11/23 15:06,3:06:00 PM,,9,452
2/12/23,22901,457NT002,156810001,2/12/23 7:15,7:15:00 AM,,4,457
2/13/23,22901,453NT003,156822802,2/13/23 11:25,11:25:00 AM,,2,453
2/14/23,22901,452NT002,156818602,2/14/23 6:01,6:01:00 AM,,2,452
2/15/23,22901,452NT006,156819002,2/15/23 14:31,2:31:00 PM,,10,452
2/16/23,22901,457NT003,156824302,2/16/23 5:44,5:44:00 AM,,1,457
2/16/23,22901,452NT007,156819102,2/16/23 14:50,2:50:00 PM,,6,452
