Date,Bus,ID,Duration,Start Time,End Time,Air Compressor Energy [kWh],Rear HVAC Energy [kWh],LV Access. Energy [kWh],Electric Heater Energy [kWh],Traction Energy [kWh],Energy Used [kWh],Mileage [miles],Average Speed [mph],SOC Start [%],SOC End [%],Regen Energy [kWh],Net Energy Consumption [kWh/mile],Average Power Consumption [kW],Average Temperature [°F]
2022-11-01,22901,1,01:04:19,06:06 AM,07:10 AM,1.1,0,1.65,1.6,18.1,21.4,12.8,12.0,92,88.4,18.3,1.67,19.96,58.39
2022-11-01,22901,2,01:03:20,07:29 AM,08:32 AM,1.15,0,2.05,3.2,15.7,20.9,11.0,10.4,88.4,84.8,18.1,1.91,19.80,58.72
2022-11-01,22901,3,01:02:48,08:40 AM,09:42 AM,1.35,0,1.95,1.55,17.8,21.8,11.3,10.8,84.8,80.8,18.4,1.94,20.83,59.83
2022-11-01,22901,4,00:48:16,10:06 AM,10:54 AM,0.95,0,1.55,0,16.5,18.2,10.6,13.2,80.8,77.6,17,1.71,22.62,61.20
2022-11-01,22901,5,00:59:18,11:17 AM,12:17 PM,1.2,0.1,1.85,0,17.8,20.2,11.2,11.3,77.6,74,17.1,1.81,20.44,63.44
2022-11-01,22901,6,00:02:01,12:34 PM,12:36 PM,0,0.05,0.05,0,0.7,0.8,0.8,23.1,73.6,73.6,1.2,1.03,23.80,64.26
2022-11-01,22901,7,00:51:16,12:41 PM,01:32 PM,0.9,0.15,1.6,0,14.1,16.2,9.9,11.5,73.6,70.8,15,1.64,18.96,66.94
2022-11-01,22901,8,01:12:22,01:44 PM,02:56 PM,1.35,0.75,2.3,0,21.1,24.5,14.5,12.0,70.8,66,20.4,1.69,20.31,69.89
2022-11-02,22901,1,00:55:18,06:06 AM,07:02 AM,0.95,0,1.7,1.15,17,20.6,11.8,12.8,93.6,90,19.1,1.74,22.35,54.20
2022-11-02,22901,2,00:02:01,07:10 AM,07:12 AM,0,0,0.1,0.7,0.9,1.6,0.6,18.5,89.6,89.6,1,2.57,47.60,53.82
2022-11-02,22901,3,00:59:18,07:34 AM,08:34 AM,1.15,0,2.05,4.6,16.7,23.5,10.7,10.8,89.2,85.2,18.3,2.19,23.78,53.25
2022-11-02,22901,4,01:02:20,08:45 AM,09:48 AM,1.15,0,2,1.1,18.4,21.9,11.3,10.9,85.2,81.2,18.9,1.93,21.08,56.82
2022-11-02,22901,5,00:52:16,10:01 AM,10:53 AM,1.1,0,1.8,6.2,16.6,24.6,10.8,12.4,81.2,76.8,17.7,2.28,28.24,60.58
2022-11-02,22901,6,00:58:35,11:08 AM,12:06 PM,1.1,0,1.7,0.25,16.2,18.8,10.5,10.7,76.8,73.2,16.9,1.79,19.25,64.36
2022-11-02,22901,7,00:02:01,12:11 PM,12:13 PM,0,0,0.05,0,1.1,1.2,0.5,16.2,73.2,73.2,1,2.21,35.70,66.02
2022-11-02,22901,8,00:57:18,12:33 PM,01:30 PM,1.1,0.1,1.8,0,17.2,19.4,11.0,11.5,73.2,69.6,17.8,1.76,20.31,67.81
2022-11-02,22901,9,01:14:24,01:45 PM,03:00 PM,1.3,0.3,2.25,0,23.4,26.3,15.06824675,12.1518119,69.6,64.4,22.2,1.745392177,21.20967742,69.57967944
2022-11-03,22901,1,01:08:22,06:06 AM,07:15 AM,1.15,0,2.45,7,18.5,28.6,12.89344825,11.31555673,93.2,88.4,17.7,2.21818085,25.09995124,47.27808698
2022-11-03,22901,2,00:58:18,07:32 AM,08:30 AM,1.1,0,2.15,6.7,16.8,25.7,10.8739925,11.1910729,88.4,83.6,17.8,2.363437348,26.44939966,47.06569552
2022-11-03,22901,3,00:33:10,08:38 AM,09:11 AM,0.65,0,1.15,2.6,9.8,13.7,5.359324875,9.69526108,83.6,81.2,8.9,2.55629213,24.7839196,52.84982408
2022-11-03,22901,4,00:23:07,09:16 AM,09:39 AM,0.45,0,0.8,1.2,11.1,13.3,6.05836725,15.72467347,81.2,78.8,9.7,2.195310956,34.52054795,53.02400055
2022-11-03,22901,5,00:54:17,10:05 AM,11:00 AM,1.05,0.05,1.75,0,17.1,19.1,10.8739925,12.01915045,78.8,75.2,17.1,1.756484566,21.11145226,58.86647292
2022-11-03,22901,6,00:54:17,11:15 AM,12:09 PM,1,0.45,1.8,0,15.7,18.2,10.71864975,11.8474483,75.2,72,15,1.697975064,20.11667178,63.97781851
2022-11-03,22901,7,00:02:00,12:16 PM,12:18 PM,0.05,0,0.1,0,1.1,1.3,0.543699625,16.31098875,72,71.6,1.1,2.391026111,39,65.60600014
2022-11-03,22901,8,01:05:20,12:23 PM,01:28 PM,1.15,1.05,2.2,0,18.6,22.2,11.65070625,10.69962819,71.6,67.6,19.6,1.905463886,20.3877551,67.28981863
2022-11-03,22901,9,01:14:15,01:44 PM,02:59 PM,1.35,1.55,2.65,0,25.2,29.7,14.44687575,11.67424303,67.6,62,24.1,2.05580781,24,69.69449997
2022-11-04,22901,1,00:30:09,06:13 AM,06:43 AM,0.55,0,1,2.15,12.2,15.4,7.1457665,14.22043085,93.2,90.8,11.4,2.155122197,30.64676617,49.56741998
2022-11-04,22901,2,00:23:07,06:48 AM,07:11 AM,0.3,0,0.8,2.85,7.4,11,5.670010375,14.71668158,90.8,88.8,6.9,1.940031723,28.55082913,49.44199924
2022-11-04,22901,3,00:55:17,07:30 AM,08:25 AM,0.95,0,1.9,4.7,14.8,21.4,10.563307,11.46454784,88.8,84.8,16.1,2.025880721,23.22580645,49.84989279
2022-11-04,22901,4,00:55:17,08:42 AM,09:37 AM,0.95,0,1.95,4.4,15.6,22.1,10.40796425,11.29595155,84.8,80.8,15.9,2.123373935,23.98552909,51.70999966
2022-11-04,22901,5,00:03:01,09:42 AM,09:45 AM,0.05,0,0.15,0.45,1.4,1.9,0.621371,12.35876022,80.8,80.4,0.5,3.057754546,37.79005525,54.08600082
2022-11-04,22901,6,00:48:15,09:59 AM,10:48 AM,0.8,0,1.7,3.75,15.7,21.2,10.563307,13.13571855,80.4,76.8,15.5,2.006947256,26.3626943,54.96212315
2022-11-04,22901,7,00:52:17,11:18 AM,12:10 PM,1.05,0,1.65,0,18.5,20.4,10.95166387,12.56805545,76.8,72.8,17.3,1.862730653,23.41090214,62.47501892
2022-11-04,22901,8,00:50:16,12:40 PM,01:30 PM,1,0.5,1.8,0,15.3,17.9,10.64097838,12.70143307,72.8,69.6,15.4,1.682176147,21.36604775,67.7480011
2022-11-04,22901,9,01:06:20,01:39 PM,02:45 PM,0.95,1,2.3,0,19.7,23.2,14.52454713,13.13778132,69.6,65.2,19.5,1.597295929,20.98492462,71.38292512
2022-11-07,22901,1,08:29:11,06:02 AM,02:31 PM,7.5,14.35,16.75,0,118.6,153.2,84.42319229,9.948070185,92.4,64.8,110.7,1.814667224,18.05243691,72.96194047
2022-11-07,22901,2,02:07:41,03:31 PM,05:39 PM,2.45,0,3.75,0,23,28.6,19.65085787,9.234184617,81.6,76.4,22.8,1.455407198,13.43949876,72.87687483
2022-11-07,22901,3,01:52:35,05:49 PM,07:41 PM,1.6,0,3.15,0,25.9,29.8,22.60237013,12.04567468,76.4,71.2,27.1,1.318445802,15.88156921,64.71683072
2022-11-07,22901,4,00:26:07,07:51 PM,08:17 PM,0.45,0,0.7,0,6.5,7.6,5.592339,12.84774754,71.2,70,6.1,1.35900202,17.46011487,61.75400124
2022-11-07,22901,5,00:57:18,08:31 PM,09:29 PM,0.7,0,1.55,0,10.6,12.3,10.48563563,10.97972317,70,67.6,10.5,1.173033323,12.87958115,60.46606884
2022-11-07,22901,6,00:40:13,09:46 PM,10:26 PM,0.6,0,1.05,0,8,9.3,6.36905275,9.502109366,67.6,66,7.5,1.46018574,13.87484459,60.63799973
2022-11-07,22901,7,01:22:25,10:35 PM,11:58 PM,1,0,2.2,2.5,19,23.6,17.86441625,13.00543953,66,61.6,16.5,1.321061918,17.1809909,59.49012008
2022-11-08,22901,1,01:11:23,08:25 AM,09:36 AM,0.35,0,2.75,15.75,103,123.2,61.36038625,51.57538886,92.8,71.2,9.7,2.007810047,103.5535839,49.56274972
2022-11-08,22901,2,00:27:09,09:55 AM,10:22 AM,0.35,0,1.2,4.75,21.8,28,14.21386162,31.4118489,71.2,66,3.4,1.969908019,61.87845304,51.99799938
2022-11-08,22901,3,02:25:45,02:35 PM,05:00 PM,2.5,0.1,4.6,0,31.1,36.8,24.07812625,9.912093139,93.6,87.2,26.4,1.52835813,15.14922813,58.16632825
2022-11-08,22901,4,02:05:39,05:16 PM,07:22 PM,1.65,0,4.9,16.05,26.5,47.5,22.91305563,10.94137157,87.2,78.8,23.3,2.073053929,22.68205332,51.25057184
2022-11-08,22901,5,04:14:18,07:44 PM,11:58 PM,2.9,0,9.65,36.1,49.2,95,40.46678638,9.547806459,78.8,61.2,38.7,2.347604258,22.4144711,47.5142282
2022-11-09,22901,1,00:21:06,12:01 AM,12:22 AM,0.4,0,0.85,4.45,6.4,12.1,4.6602825,13.25198815,61.2,58.8,4.5,2.596409123,34.40758294,45.05
2022-11-09,22901,3,01:03:20,06:07 AM,07:10 AM,1.2,0,2.25,8.9,19.4,30.5,12.81577688,12.1412623,93.6,88.4,18.4,2.379879136,28.89473684,39.17806253
2022-11-09,22901,4,00:57:19,07:29 AM,08:27 AM,1,0,2.2,8.8,15.1,26.1,10.40796425,10.89522283,88.4,83.6,15.1,2.507695009,27.3218959,41.08255199
2022-11-09,22901,5,00:49:16,08:44 AM,09:33 AM,0.9,0,1.8,4.85,15.1,21.9,10.09727875,12.29709185,83.6,79.6,13.6,2.1689012,26.67117727,45.40999966
2022-11-09,22901,6,00:47:15,10:05 AM,10:52 AM,0.9,0,1.7,2.15,14.5,18.9,10.17495012,12.92057159,78.8,75.6,13.8,1.857502962,24,49.46037527
2022-11-09,22901,7,00:50:16,11:26 AM,12:16 PM,1.05,0,1.6,0,17.5,19.4,9.941936,11.86703236,75.6,72,15.5,1.951330204,23.15649867,53.44223552
2022-11-09,22901,8,00:54:16,12:25 PM,01:19 PM,0.75,0,1.7,0,14.5,16.4,11.184678,12.3663516,70,67.2,14.7,1.466291654,18.13267813,55.38527333
2022-11-09,22901,9,01:04:21,01:43 PM,02:47 PM,1.1,0,1.95,0,18.9,21.1,14.05851888,13.10817611,67.2,62.8,17.4,1.500869344,19.67365967,56.55615342
2022-11-14,22901,1,08:25:39,06:01 AM,02:26 PM,6.65,0,24.75,144.45,118.9,288.4,83.263714,9.880001661,90,34.8,101,3.463693681,34.22129932,41.85134653
2022-11-14,22901,2,02:32:46,03:32 PM,06:05 PM,2.65,0,5.9,22.3,32.5,61.6,25.476211,10.00593057,50.8,38.4,27.6,2.417941977,24.19375955,43.43752926
2022-11-14,22901,3,02:05:39,06:14 PM,08:19 PM,1.45,0,5.25,25.35,25.6,57.2,21.82565638,10.42212004,38.4,26.8,20.1,2.620768834,27.31396737,39.09585723
2022-11-14,22901,4,01:09:59,08:34 PM,09:44 PM,0.65,0,2.75,14.35,9.7,27.2,7.92248025,6.792314575,25.6,20,7.6,3.433268262,23.31983806,37.05005882
2022-11-15,22901,1,02:16:44,06:14 AM,08:31 AM,2.25,0,5.3,26.7,37.1,69.1,23.45675525,10.29306666,92.4,80.4,35.7,2.945846485,30.32179425,32.91931387
2022-11-15,22901,2,00:52:17,08:47 AM,09:40 AM,1,0,2.2,10.05,17.8,30.6,10.33029287,11.85497429,80,74.8,15.9,2.962161903,35.1163532,37.81400003
2022-11-15,22901,3,01:03:20,09:45 AM,10:48 AM,0.85,0,2.45,9,15.6,27.1,11.10700662,10.52242733,74.4,69.6,15.3,2.439901309,25.67368421,42.51650011
2022-11-15,22901,4,03:25:04,11:19 AM,02:45 PM,3.15,0,8.15,28.05,57.3,95,35.7288325,10.45381965,69.2,51.2,51.7,2.658916997,27.79583875,45.19487783
2022-11-16,22901,1,04:45:26,02:35 PM,07:20 PM,4.3,0,11.65,43.55,55.7,114,45.59309713,9.583974638,93.6,73.6,45.8,2.500378504,23.96356417,45.99174728
2022-11-16,22901,2,04:20:20,07:37 PM,11:58 PM,2.55,0,10.65,48.85,48.8,111.7,41.24350013,9.505544203,73.6,52.8,36.6,2.708305543,25.74391805,41.16421542
2022-11-17,22901,1,00:50:05,12:01 AM,12:51 AM,0.6,0,1.55,7.7,7.1,17.6,5.670010375,6.792691298,52.4,48.8,5.9,3.104050758,21.08485857,38.771306
2022-11-17,22901,2,02:11:40,06:10 AM,08:21 AM,2.15,0,4.95,24,35.1,63.4,23.3014125,10.61836519,93.6,82.4,33.5,2.720865098,28.89113924,36.60281823
2022-11-17,22901,3,01:05:21,08:28 AM,09:34 AM,1.05,0,2.65,10.65,15.5,29.1,10.09727875,9.270646136,79.6,74.4,14.3,2.881964609,26.71767406,39.12499986
2022-11-17,22901,4,01:12:22,09:40 AM,10:52 AM,0.8,0,2.8,9.9,15.6,28.9,11.184678,9.273339659,74.4,69.2,15,2.583891999,23.96130815,42.11353455
2022-11-17,22901,5,00:46:15,11:16 AM,12:02 PM,0.85,0,1.8,5.75,15.4,23.6,10.17495013,13.1999353,68.8,64.4,14.6,2.319421689,30.61621622,43.34191459
2022-11-17,22901,6,01:24:26,12:07 PM,01:31 PM,1,0,3.35,10,16.9,30.7,11.41769213,8.113638304,64.4,58.4,16.8,2.688809583,21.81602842,43.97931774
2022-11-17,22901,7,01:04:20,01:43 PM,02:47 PM,1.15,0,2.55,8.4,21.7,33.7,14.21386162,13.25645126,58.4,51.6,19.5,2.370925009,31.43005181,43.51058456
2022-11-18,22901,1,02:17:44,06:09 AM,08:27 AM,2.05,0,5.45,28.05,35.3,70.1,23.37908387,10.18449927,93.2,80.8,34.8,2.998406626,30.53727009,31.77330434
2022-11-18,22901,2,02:05:40,08:50 AM,10:56 AM,1.95,0,4.95,17.6,32.7,56.5,21.67031362,10.34656884,80.8,70.4,28.5,2.607253452,26.97612732,39.55671422
2022-11-18,22901,3,02:04:39,11:14 AM,01:19 PM,1.7,0,4.65,10.8,29.2,46.2,21.59264225,10.39357028,70.4,61.6,26,2.139617721,22.23826715,43.36520006
2022-11-18,22901,4,01:03:20,01:45 PM,02:48 PM,1,0,2.65,8.6,19.4,31.8,14.05851888,13.31859683,61.6,55.6,17.3,2.261973703,30.12631579,43.79815644
2022-11-21,22901,1,00:09:04,02:51 PM,03:00 PM,0.2,0,0.45,2.6,2.1,6.5,1.70877025,11.30803842,92.4,91.2,2.1,3.803905177,43.01470588,43.08799973
2022-11-21,22901,2,01:08:21,03:06 PM,04:15 PM,1.15,0,2.9,10.5,17.6,33.6,11.02933525,9.681932919,91.2,85.2,13.2,3.046421134,29.49524506,42.21460858
2022-11-21,22901,3,00:56:17,04:35 PM,05:32 PM,1.05,0,2.7,16.5,15.2,35.3,10.563307,11.26085437,85.2,79.2,11.9,3.341756516,37.63103346,38.80305276
2022-11-21,22901,4,00:52:17,05:45 PM,06:37 PM,0.95,0,2.45,14.6,20.1,37.7,11.96139175,13.72681234,78.8,72,15.4,3.151807147,43.26426522,36.82400012
2022-11-21,22901,5,00:37:11,07:12 PM,07:49 PM,0.6,0,1.9,10.8,14.9,28.2,10.33029287,16.669231,72,66.8,11.2,2.729835479,45.50425818,35.95905252
2022-11-21,22901,6,00:45:14,08:14 PM,09:00 PM,0.8,0,2.35,12.6,18.5,34,11.72837763,15.55717003,66.4,60,13,2.898951678,45.09948416,36.66473917
2022-11-21,22901,7,00:39:12,09:38 PM,10:17 PM,0.55,0,2.1,10.6,14.6,28.2,10.79632112,16.52498131,60,54.4,10.5,2.612000854,43.16326531,37.20740016
2022-11-21,22901,8,00:52:16,10:48 PM,11:41 PM,0.75,0,2.6,13.8,20.7,37.7,13.90317612,15.96027871,54,46.8,14.6,2.711610618,43.27806122,37.09399986
2022-11-22,22901,1,01:08:33,02:55 PM,04:04 PM,1.15,0,2.35,6.85,11.1,19.9,12.50509138,10.94537538,91.6,86.8,15.5,1.591351826,17.41794311,53.09375011
2022-11-22,22901,2,00:50:16,04:37 PM,05:27 PM,0.9,0,2.1,14,13.3,29.4,10.2526215,12.23787712,86.4,81.2,11.2,2.867559287,35.0928382,47.71611788
2022-11-22,22901,3,00:49:15,05:44 PM,06:33 PM,0.7,0,2.05,12.6,14.9,29.5,10.8739925,13.24750355,81.2,76,11.9,2.712895011,35.93908629,44.2579999
2022-11-22,22901,4,00:42:13,07:08 PM,07:51 PM,0.65,0,1.85,10.9,13.6,26.8,10.563307,15.0129906,76,71.2,10.8,2.537084267,38.08922227,42.25916295
2022-11-22,22901,5,00:22:07,08:18 PM,08:40 PM,0.5,0,1.1,5.7,6.5,14,4.427268375,12.01067532,70.8,68,6.2,3.162220768,37.98040693,41.11034804
2022-11-22,22901,6,00:20:53,08:44 PM,09:05 PM,0.3,0,0.75,3.9,7.6,13.1,5.12631075,14.72842674,68,65.6,5.6,2.555443991,37.63766959,39.81200027
2022-11-22,22901,7,00:39:12,09:42 PM,10:21 PM,0.8,0,2,10.85,16.9,30.1,10.40796425,15.93055753,65.6,59.6,13.2,2.892016083,46.07142857,39.25400038
2022-11-22,22901,8,00:52:16,10:48 PM,11:40 PM,0.65,0,2.85,14.05,17.3,35.2,13.90317612,15.96027871,59.6,52.8,12.7,2.53179559,40.40816327,38.62400012
2022-11-23,22901,1,02:21:44,06:05 AM,08:27 AM,2.15,0,5.45,22.75,32.8,61.3,23.37908388,9.897072195,93.2,82.4,33,2.6220018,25.95014111,35.48338024
2022-11-23,22901,2,00:46:13,08:41 AM,09:27 AM,0.8,0,1.9,6.95,13.5,22.9,9.398236375,12.20110023,82.4,78.4,13.6,2.436627372,29.7295348,43.12399969
2022-11-23,22901,3,00:04:01,09:33 AM,09:37 AM,0.05,0,0.1,0.9,1.5,2.7,1.39808475,20.88425353,78,77.6,1.7,1.931213397,40.33195021,43.12399969
2022-11-23,22901,4,00:55:17,10:03 AM,10:59 AM,1,0,2.05,2.85,12.3,17.8,10.17495012,11.04305711,77.6,74.4,14.2,1.749394324,19.31866144,51.11857202
2022-11-23,22901,5,02:14:25,11:16 AM,01:30 PM,2.3,0,4.2,2.85,31.9,39.5,21.59264225,9.638377198,74,67.2,32.4,1.829326839,17.6317421,55.75236394
2022-11-23,22901,6,00:52:16,01:41 PM,02:34 PM,1.05,0,1.45,0,14.9,16.5,10.09727875,11.59126387,66.8,64,14.9,1.634103644,18.94132653,57.2896611
2022-11-23,22901,7,00:15:05,02:38 PM,02:53 PM,0.25,0,0.45,0,5.5,6,3.805897375,15.13948127,63.6,62.4,5.9,1.576500733,23.86740331,57.0379994
2022-11-28,22901,1,01:00:43,06:11 AM,07:12 AM,1.25,0,2.35,5.65,18.7,27.3,12.97111963,12.81801555,92.8,88,18.4,2.104675679,26.97776558,53.65458079
2022-11-28,22901,2,00:57:10,07:35 AM,08:32 AM,0.8,0,2.3,4.85,9.1,16.4,5.980695875,6.277115204,88,85.2,9.8,2.74215582,17.21282799,54.31969015
2022-11-29,22901,1,00:30:08,12:20 PM,12:50 PM,0.35,0,1.1,1.9,8.8,11.8,7.30110925,14.53760691,79.2,77.2,6.2,1.616192772,23.49557522,46.12709651
2022-11-30,22901,1,02:13:13,02:53 PM,05:07 PM,2.95,0,5.75,11.55,31,49.7,22.21401325,10.00506039,93.6,84.8,26,2.237326477,22.38458651,56.38919996
2022-11-30,22901,2,00:58:10,05:14 PM,06:12 PM,1.25,0,2.6,12.55,15.2,30.5,11.184678,11.53720367,84.8,79.6,12.2,2.726944844,31.46131805,53.94352575
2022-11-30,22901,3,01:00:03,06:26 PM,07:26 PM,1.2,0,2.9,15.1,14.7,33.2,10.95166387,10.94254509,79.6,73.6,11.4,3.031502827,33.17235637,51.08324579
2022-11-30,22901,4,02:08:33,07:40 PM,09:49 PM,2.2,0,6.15,31.65,32.2,71.2,23.14606975,10.80329977,73.6,60.4,25.4,3.076116195,33.23220537,46.55853831
2022-11-30,22901,5,01:54:29,10:04 PM,11:59 PM,1.45,0,5.4,28.45,24.2,59.9,17.01003112,8.914851077,60.4,48.8,17.8,3.521451522,31.3932159,42.05967248
2022-12-01,22901,1,00:32:33,12:00 AM,12:33 AM,0.7,0,1.6,8.05,8.7,19.2,5.75,10.6,48.4,44.4,6.5,3.340477228,35.39170507,39.2
2022-12-01,22901,2,02:20:09,06:11 AM,08:32 AM,2.35,0,5.3,24.5,39.7,69.5,23.15,9.9,93.2,81.2,38.8,3.0026696,29.75383518,35.20412673
2022-12-01,22901,3,02:08:46,08:40 AM,10:49 AM,1.95,0,5.05,19.75,35.5,61.5,21.75,10.1,81.2,68.8,32.2,2.827848189,28.6564846,38.11014298
2022-12-01,22901,4,02:05:23,11:16 AM,01:22 PM,1.9,0,4.75,15.1,35.4,56.6,21.67,10.4,68.8,58,32,2.61186806,27.08493952,41.41903973
2022-12-01,22901,5,01:11:15,01:45 PM,02:57 PM,1.15,0,2.85,8.85,24.1,36.8,14.76,12.4,58,50.8,22,2.493636948,30.98947368,42.47772622
2022-12-02,22901,1,02:18:07,06:08 AM,08:26 AM,2,0,5.45,28.6,37.9,72.3,24.00,10.4,93.2,80.8,37.1,3.012442905,31.40822976,29.87910795
2022-12-02,22901,2,00:57:19,08:40 AM,09:38 AM,1.1,0,2.4,9.45,16,28.6,10.25,10.7,80.4,75.6,15.6,2.789530463,29.93893574,33.85399995
2022-12-02,22901,3,01:09:14,09:42 AM,10:51 AM,0.95,0,2.6,7.85,17.6,28.4,11.65,10.1,75.6,70.4,18.2,2.437620466,24.61242176,38.08734276
2022-12-02,22901,4,02:10:33,11:15 AM,01:26 PM,1.95,0,5,13,34.1,53.2,22.37,10.3,70.4,60,33.4,2.378253536,24.45040214,42.86381832
2022-12-02,22901,5,00:53:09,01:38 PM,02:31 PM,1,0,2,5.1,19.9,27.4,11.88,13.4,60,54.8,18.1,2.305675254,30.93132643,45.50933364
2022-12-05,22901,1,01:15:20,02:55 PM,04:11 PM,1.45,0,2.9,14.15,20.9,37.9,12.58,10.0,92.4,86,16.2,3.01205711,30.18584071,47.38485761
2022-12-05,22901,2,00:53:09,04:35 PM,05:29 PM,1.15,0,2.35,12.95,15.8,31,10.64,12.0,86,80.4,13.9,2.913265952,34.99529633,42.43934528
2022-12-05,22901,3,00:52:09,05:41 PM,06:33 PM,0.9,0,2.35,13.15,16.1,31.6,10.95,12.6,80.4,74.8,12.8,2.885406305,36.35666347,37.9579999
2022-12-05,22901,4,00:43:05,07:09 PM,07:52 PM,0.7,0,2.55,12.8,14.9,30.9,10.64,14.8,74.4,68.8,13.1,2.90386832,43.03288201,36.9066364
2022-12-05,22901,5,00:51:38,08:16 PM,09:08 PM,0.9,0,2.9,13.9,18.6,36.2,11.11,12.9,68.8,62,12.8,3.259203962,42.06584893,37.11623537
2022-12-05,22901,6,00:45:09,09:38 PM,10:23 PM,0.7,0,2.3,11.15,16,30.4,10.87,14.5,62,56.4,11.3,2.795661299,40.3986711,37.13490893
2022-12-05,22901,7,01:01:11,10:41 PM,11:42 PM,0.95,0,3.4,16.25,18.6,39.9,14.21,13.9,57.2,48.4,12.6,2.807118927,39.12830291,35.83400021
2022-12-06,22901,1,01:13:32,03:03 PM,04:17 PM,1.55,0,3.1,0,21.7,25.5,12.82,10.5,93.6,88.8,16.6,1.989735016,20.8068903,55.08344051
2022-12-06,22901,2,00:47:09,04:46 PM,05:33 PM,0.75,0,2.15,15.05,15.3,31.9,10.41,13.2,88.4,82.8,12.6,3.064960566,40.59384942,55.02199993
2022-12-06,22901,3,00:56:08,05:45 PM,06:41 PM,1,0,2.05,6.95,15.8,25,11.11,11.9,82.8,78.4,12.3,2.250831466,26.72209026,55.64428591
2022-12-06,22901,4,00:43:08,07:17 PM,08:00 PM,0.65,0,1.55,4.05,15.2,20.7,10.56,14.7,78,74.4,11.6,1.959613594,28.79443586,55.90400038
2022-12-06,22901,5,00:38:05,08:16 PM,08:54 PM,0.55,0,1.8,10.7,13.4,25.5,9.48,14.9,74.4,69.6,9.3,2.691035062,40.1750547,55.92292334
