Energy Consumption,Power Consumption,Temperature,Speed,Bus
1.67,19.96,58.39,11.96,22901
1.91,19.80,58.72,10.38,22901
1.94,20.83,59.83,10.76,22901
1.71,22.62,61.20,13.23,22901
1.81,20.44,63.44,11.32,22901
1.03,23.80,64.26,23.11,22901
1.64,18.96,66.94,11.54,22901
1.69,20.31,69.89,12.04,22901
1.74,22.35,54.20,12.81,22901
2.57,47.60,53.82,18.49,22901
2.19,23.78,53.25,10.85,22901
1.93,21.08,56.82,10.92,22901
2.28,28.24,60.58,12.39,22901
1.79,19.25,64.36,10.74,22901
2.21,35.70,66.02,16.18,22901
1.76,20.31,67.81,11.55,22901
1.75,21.21,69.58,12.15,22901
2.22,25.10,47.28,11.32,22901
2.36,26.45,47.07,11.19,22901
2.56,24.78,52.85,9.70,22901
2.20,34.52,53.02,15.72,22901
1.76,21.11,58.87,12.02,22901
1.70,20.12,63.98,11.85,22901
2.39,39.00,65.61,16.31,22901
1.91,20.39,67.29,10.70,22901
2.06,24.00,69.69,11.67,22901
2.16,30.65,49.57,14.22,22901
1.94,28.55,49.44,14.72,22901
2.03,23.23,49.85,11.46,22901
2.12,23.99,51.71,11.30,22901
3.06,37.79,54.09,12.36,22901
2.01,26.36,54.96,13.14,22901
1.86,23.41,62.48,12.57,22901
1.68,21.37,67.75,12.70,22901
1.60,20.98,71.38,13.14,22901
1.81,18.05,72.96,9.95,22901
1.46,13.44,72.88,9.23,22901
1.32,15.88,64.72,12.05,22901
1.36,17.46,61.75,12.85,22901
1.17,12.88,60.47,10.98,22901
1.46,13.87,60.64,9.50,22901
1.32,17.18,59.49,13.01,22901
2.01,103.55,49.56,51.58,22901
1.97,61.88,52.00,31.41,22901
1.53,15.15,58.17,9.91,22901
2.07,22.68,51.25,10.94,22901
2.35,22.41,47.51,9.55,22901
2.60,34.41,45.05,13.25,22901
2.38,28.89,39.18,12.14,22901
2.51,27.32,41.08,10.90,22901
2.17,26.67,45.41,12.30,22901
1.86,24.00,49.46,12.92,22901
1.95,23.16,53.44,11.87,22901
1.47,18.13,55.39,12.37,22901
1.50,19.67,56.56,13.11,22901
3.46,34.22,41.85,9.88,22901
2.42,24.19,43.44,10.01,22901
2.62,27.31,39.10,10.42,22901
3.43,23.32,37.05,6.79,22901
2.95,30.32,32.92,10.29,22901
2.96,35.12,37.81,11.85,22901
2.44,25.67,42.52,10.52,22901
2.66,27.80,45.19,10.45,22901
2.50,23.96,45.99,9.58,22901
2.71,25.74,41.16,9.51,22901
3.10,21.08,38.77,6.79,22901
2.72,28.89,36.60,10.62,22901
2.88,26.72,39.12,9.27,22901
2.58,23.96,42.11,9.27,22901
2.32,30.62,43.34,13.20,22901
2.69,21.82,43.98,8.11,22901
2.37,31.43,43.51,13.26,22901
3.00,30.54,31.77,10.18,22901
2.61,26.98,39.56,10.35,22901
2.14,22.24,43.37,10.39,22901
2.26,30.13,43.80,13.32,22901
3.80,43.01,43.09,11.31,22901
3.05,29.50,42.21,9.68,22901
3.34,37.63,38.80,11.26,22901
3.15,43.26,36.82,13.73,22901
2.73,45.50,35.96,16.67,22901
2.90,45.10,36.66,15.56,22901
2.61,43.16,37.21,16.52,22901
2.71,43.28,37.09,15.96,22901
1.59,17.42,53.09,10.95,22901
2.87,35.09,47.72,12.24,22901
2.71,35.94,44.26,13.25,22901
2.54,38.09,42.26,15.01,22901
3.16,37.98,41.11,12.01,22901
2.56,37.64,39.81,14.73,22901
2.89,46.07,39.25,15.93,22901
2.53,40.41,38.62,15.96,22901
2.62,25.95,35.48,9.90,22901
2.44,29.73,43.12,12.20,22901
1.93,40.33,43.12,20.88,22901
1.75,19.32,51.12,11.04,22901
1.83,17.63,55.75,9.64,22901
1.63,18.94,57.29,11.59,22901
1.58,23.87,57.04,15.14,22901
2.10,26.98,53.65,12.82,22901
2.74,17.21,54.32,6.28,22901
1.62,23.50,46.13,14.54,22901
2.24,22.38,56.39,10.01,22901
2.73,31.46,53.94,11.54,22901
3.03,33.17,51.08,10.94,22901
3.08,33.23,46.56,10.80,22901
3.52,31.39,42.06,8.91,22901
3.34,35.39,39.20,10.59,22901
3.00,29.75,35.20,9.91,22901
2.83,28.66,38.11,10.13,22901
2.61,27.08,41.42,10.37,22901
2.49,30.99,42.48,12.43,22901
3.01,31.41,29.88,10.43,22901
2.79,29.94,33.85,10.73,22901
2.44,24.61,38.09,10.10,22901
2.38,24.45,42.86,10.28,22901
2.31,30.93,45.51,13.42,22901
3.01,30.19,47.38,10.02,22901
2.91,35.00,42.44,12.01,22901
2.89,36.36,37.96,12.60,22901
2.90,43.03,36.91,14.82,22901
3.26,42.07,37.12,12.91,22901
2.80,40.40,37.13,14.45,22901
2.81,39.13,35.83,13.94,22901
1.99,20.81,55.08,10.46,22901
3.06,40.59,55.02,13.24,22901
2.25,26.72,55.64,11.87,22901
1.96,28.79,55.90,14.69,22901
2.69,40.18,55.92,14.93,22901
2.00,40.48,55.98,20.21,22901
2.65,39.07,55.90,14.75,22901
2.50,34.23,55.87,13.71,22901
2.63,27.94,46.82,10.61,22901
2.48,23.78,49.06,9.58,22901
2.39,32.06,47.30,13.43,22901
2.61,32.72,46.78,12.55,22901
2.40,34.26,45.96,14.28,22901
2.19,32.71,45.14,14.91,22901
2.05,27.83,43.72,13.60,22901
3.72,34.85,43.42,9.36,22901
3.10,38.27,38.79,12.36,22901
2.95,43.02,36.78,14.60,22901
2.87,37.31,36.18,12.99,22901
2.86,40.30,34.86,14.10,22901
2.88,40.38,34.56,14.02,22901
2.87,35.05,32.75,12.22,22901
2.74,35.72,38.36,13.05,22901
2.61,35.68,41.10,13.69,22901
2.62,29.36,42.03,11.23,22901
2.70,32.92,42.59,12.20,22901
2.53,31.74,42.40,12.57,22901
3.04,29.60,34.74,9.73,22901
2.78,25.31,39.87,9.09,22901
2.75,32.10,41.54,11.67,22901
3.07,35.05,25.98,11.42,22901
3.24,36.61,28.87,11.29,22901
2.71,25.91,32.29,9.55,22901
2.36,25.01,37.28,10.59,22901
2.26,28.61,40.37,12.68,22901
1.58,16.34,36.01,10.37,22901
2.59,27.82,32.19,10.73,22901
2.73,38.62,32.45,14.13,22901
2.65,39.06,31.86,14.72,22901
2.42,26.72,33.52,11.02,22901
3.14,28.79,36.22,9.17,22901
2.66,33.56,40.78,12.61,22901
2.46,24.14,45.45,9.80,22901
2.67,27.74,44.55,10.39,22901
2.72,28.49,42.08,10.47,22901
3.00,42.00,43.02,13.98,22901
3.47,34.63,43.02,9.97,22901
2.91,40.89,42.82,14.07,22901
3.23,32.20,42.80,9.98,22901
2.89,42.25,42.80,14.63,22901
3.00,34.66,42.73,11.54,22901
2.50,38.49,35.21,15.39,22901
2.67,30.57,40.33,11.47,22901
3.70,69.00,43.32,18.64,22901
2.76,34.52,42.45,12.49,22901
2.56,29.94,42.90,11.72,22901
3.41,37.15,29.18,10.89,22901
2.95,31.16,33.50,10.55,22901
2.78,32.23,35.36,11.59,22901
2.87,27.57,35.61,9.60,22901
2.95,37.26,35.73,12.64,22901
2.87,27.91,34.36,9.73,22901
2.73,26.09,33.24,9.56,22901
2.92,37.43,31.28,12.81,22901
3.06,27.32,34.89,8.93,22901
2.98,29.84,39.29,10.00,22901
3.49,35.21,27.33,10.10,22901
2.96,32.23,27.26,10.90,22901
3.15,30.57,31.22,9.70,22901
2.80,28.12,35.80,10.03,22901
2.70,32.95,37.33,12.19,22901
3.13,30.45,31.63,9.74,22901
2.24,21.56,45.44,9.60,22901
3.08,29.89,31.25,9.71,22901
2.51,25.52,40.72,10.15,22901
2.05,20.06,48.88,9.79,22901
1.83,24.05,52.05,13.14,22901
2.97,30.67,36.26,10.32,22901
2.39,24.64,44.00,10.31,22901
1.80,17.24,55.47,9.58,22901
1.77,22.12,59.06,12.48,22901
2.03,21.93,49.42,10.78,22901
2.20,20.42,51.78,9.27,22901
2.13,21.44,54.20,10.06,22901
2.22,23.08,46.82,10.39,22901
2.43,23.71,52.94,9.74,22901
2.19,23.26,49.48,10.61,22901
2.20,23.96,51.43,10.89,22901
2.01,22.43,54.01,11.14,22901
2.17,23.82,56.10,10.98,22901
1.86,23.11,59.39,12.45,22901
1.27,13.79,65.65,10.85,22901
1.62,10.84,63.02,6.70,22901
2.19,23.36,58.72,10.66,22901
2.86,31.37,54.93,10.96,22901
3.01,36.61,52.17,12.16,22901
2.59,39.23,49.62,15.12,22901
2.93,42.58,48.44,14.53,22901
3.09,38.79,47.37,12.57,22901
2.72,41.78,47.14,15.34,22901
3.07,42.44,46.56,13.82,22901
3.19,42.27,45.21,13.25,22901
2.94,40.52,43.81,13.79,22901
2.94,39.42,42.87,13.43,22901
2.62,39.18,42.58,14.98,22901
2.86,39.76,41.32,13.91,22901
2.90,32.65,39.33,11.24,22901
2.43,26.29,43.77,10.82,22901
2.58,32.55,42.63,12.60,22901
2.94,31.58,39.91,10.73,22901
2.69,31.74,37.07,11.80,22901
2.96,30.04,39.23,10.16,22901
2.52,32.17,39.11,12.78,22901
2.84,25.86,39.05,9.12,22901
2.94,31.49,36.70,10.71,22901
2.78,28.49,31.91,10.25,22901
2.81,37.72,35.08,13.44,22901
2.60,26.22,41.05,10.09,22901
2.34,30.89,43.46,13.18,22901
2.92,30.10,30.71,10.29,22901
2.58,26.91,38.14,10.41,22901
2.08,25.27,42.61,12.17,22901
2.17,26.81,43.96,12.34,22901
2.05,28.78,43.97,14.06,22901
2.73,26.57,41.29,9.74,22901
2.40,22.54,51.16,9.37,22901
1.68,19.90,55.92,11.85,22901
1.92,24.76,53.43,12.88,22901
2.16,19.22,53.25,8.91,22901
2.15,23.13,52.23,10.74,22901
1.93,25.53,49.80,13.22,22901
2.44,23.04,47.43,9.44,22901
2.69,27.88,35.68,10.37,22901
2.85,30.20,30.28,10.59,22901
3.05,42.39,43.48,13.91,22901
4.01,23.83,43.48,5.95,22901
3.65,25.37,43.48,6.95,22901
2.28,21.10,43.90,9.27,22901
2.05,21.57,44.49,10.51,22901
2.39,16.92,45.37,7.09,22901
2.11,20.52,45.38,9.71,22901
1.81,20.50,47.68,11.33,22901
2.52,26.98,49.79,10.69,22901
2.49,29.32,47.05,11.79,22901
2.61,30.46,45.62,11.67,22901
2.94,30.80,44.10,10.48,22901
2.74,31.22,41.78,11.41,22901
2.40,29.84,39.83,12.46,22901
1.96,12.89,45.86,6.59,22901
1.97,17.91,45.54,9.09,22901
2.63,27.51,43.88,10.45,22901
2.64,28.02,41.94,10.60,22901
2.56,34.54,41.51,13.51,22901
2.59,32.00,41.40,12.35,22901
2.49,31.62,40.42,12.69,22901
